col1,col2,cluster
1,5.0,0
1,6.0,0
1,7.0,0
2,2.0,0
2,3.0,0
2,4.0,0
2,6.0,0
2,7.0,0
2,13.0,1
3,2.0,0
3,3.0,0
3,3.5,0
3,4.0,0
3,7.0,0
3,8.0,0
3,13.0,1
3,14.0,1
3,15.0,1
4,2.0,0
4,3.0,0
4,4.0,0
4,6.0,0
4,7.0,0
4,7.5,0
4,8.0,0
4,14.0,1
4,15.0,1
4,16.0,1
5,0.0,0
5,1.0,0
5,5.0,0
5,6.0,0
5,7.0,0
5,8.0,0
5,15.0,1
5,16.0,1
5,17.0,1
6,1.0,0
6,2.0,0
6,5.0,0
6,6.0,0
6,16.0,1
6,17.0,1
6,18.0,1
7,1.0,0
7,2.0,0
7,3.0,0
7,4.0,0
7,5.0,0
7,5.5,0
7,6.0,0
7,7.0,0
7,16.0,1
7,17.0,1
8,2.0,0
8,3.0,0
8,4.0,0
8,14.0,2
8,18.0,2
9,13.0,2
9,15.0,2
10,14.0,2
10,15.0,2
10,16.0,2
11,15.0,2
11,16.0,2
11,17.0,2
12,15.0,2
12,16.0,2
12,17.0,2
13,17.0,2
13,18.0,2
14,18.0,2
