item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
apples,beer,bread,butter,cheese,cookies,ham,milk,water,yogurt
apples,beer,butter,cheese,coffee,cookies,eggs,ham,milk,yogurt
apples,beer,butter,cheese,chips,coffee,cookies,tea,water,yogurt
beer,bread,butter,cheese,chips,coffee,eggs,juice,tea,yogurt
bread,butter,chips,coffee,cookies,juice,milk,tea,water,yogurt
beer,butter,cheese,chips,cookies,ham,juice,milk,tea,yogurt
apples,beer,bread,cheese,coffee,eggs,juice,milk,tea,yogurt
apples,beer,bread,cheese,chips,coffee,ham,juice,tea,yogurt
apples,beer,bread,butter,coffee,cookies,eggs,ham,water,yogurt
apples,bread,chips,coffee,cookies,eggs,ham,milk,water,yogurt
apples,beer,bread,butter,cheese,coffee,cookies,eggs,tea,yogurt
butter,cheese,chips,coffee,eggs,ham,juice,milk,tea,water
beer,cheese,chips,coffee,cookies,eggs,juice,milk,water,yogurt
beer,bread,butter,cheese,coffee,cookies,eggs,milk,water,yogurt
beer,butter,cheese,coffee,eggs,ham,milk,tea,water,yogurt
apples,beer,butter,cheese,chips,coffee,ham,juice,milk,tea
apples,beer,bread,butter,coffee,cookies,ham,milk,tea,water
apples,beer,bread,chips,coffee,cookies,eggs,ham,milk,yogurt
apples,beer,bread,butter,coffee,cookies,ham,juice,milk,yogurt
apples,bread,butter,cheese,ham,juice,milk,tea,water,yogurt
beer,cheese,coffee,cookies,eggs,ham,juice,tea,water,yogurt
bread,cheese,chips,coffee,cookies,ham,milk,tea,water,yogurt
bread,butter,cheese,chips,coffee,cookies,eggs,juice,milk,water
apples,beer,bread,butter,chips,coffee,cookies,ham,juice,tea
bread,butter,cheese,chips,coffee,eggs,milk,tea,water,yogurt
bread,cheese,chips,coffee,cookies,eggs,ham,milk,tea,water
apples,beer,butter,cheese,chips,cookies,eggs,milk,tea,water
beer,bread,butter,coffee,cookies,ham,milk,tea,water,yogurt
beer,bread,coffee,cookies,eggs,ham,juice,milk,water,yogurt
apples,beer,bread,butter,chips,coffee,juice,milk,tea,yogurt
apples,beer,bread,butter,cheese,cookies,eggs,ham,juice,milk
apples,beer,bread,butter,chips,coffee,eggs,ham,water,yogurt
apples,beer,butter,chips,coffee,ham,juice,milk,tea,water
beer,bread,butter,chips,coffee,cookies,juice,milk,water,yogurt
beer,bread,butter,cheese,chips,coffee,eggs,tea,water,yogurt
beer,bread,chips,cookies,ham,juice,milk,tea,water,yogurt
apples,beer,butter,cheese,chips,cookies,eggs,ham,water,yogurt
beer,bread,butter,cheese,chips,coffee,cookies,ham,juice,yogurt
apples,cheese,chips,coffee,cookies,eggs,ham,juice,tea,water
apples,bread,butter,chips,coffee,cookies,eggs,tea,water,yogurt
bread,butter,cheese,cookies,eggs,ham,juice,milk,tea,yogurt
apples,beer,butter,cheese,coffee,ham,juice,milk,tea,yogurt
apples,beer,butter,cheese,chips,coffee,cookies,eggs,tea,water
apples,bread,butter,chips,coffee,cookies,eggs,juice,tea,yogurt
beer,bread,cheese,chips,coffee,cookies,eggs,tea,water,yogurt
apples,bread,butter,cheese,chips,coffee,cookies,ham,juice,tea
beer,butter,cheese,chips,coffee,cookies,eggs,ham,juice,milk
apples,bread,butter,cheese,coffee,eggs,ham,milk,tea,yogurt
apples,beer,butter,cheese,coffee,eggs,ham,milk,water,yogurt
beer,butter,cheese,chips,coffee,ham,juice,milk,tea,water
apples,beer,butter,coffee,cookies,eggs,ham,milk,tea,yogurt
beer,cheese,cookies,eggs,ham,juice,milk,tea,water,yogurt
bread,butter,cheese,chips,coffee,eggs,ham,tea,water,yogurt
apples,beer,bread,chips,coffee,cookies,ham,tea,water,yogurt
apples,beer,bread,butter,cheese,chips,cookies,eggs,milk,tea
apples,beer,bread,cheese,coffee,eggs,ham,juice,water,yogurt
apples,bread,butter,cheese,chips,coffee,eggs,ham,juice,water
bread,chips,cookies,eggs,ham,juice,milk,tea,water,yogurt
apples,beer,butter,chips,coffee,cookies,eggs,juice,milk,yogurt
beer,bread,chips,coffee,cookies,ham,juice,milk,water,yogurt
bread,butter,chips,coffee,eggs,ham,juice,milk,tea,yogurt
beer,bread,butter,cheese,chips,coffee,cookies,eggs,tea,yogurt
apples,bread,butter,cookies,eggs,ham,juice,milk,tea,water
apples,beer,bread,cheese,chips,coffee,ham,juice,water,yogurt
beer,bread,butter,cheese,chips,coffee,eggs,ham,milk,water
apples,beer,cheese,chips,coffee,cookies,eggs,juice,milk,water
apples,beer,cheese,coffee,cookies,eggs,milk,tea,water,yogurt
apples,beer,coffee,cookies,ham,juice,milk,tea,water,yogurt
apples,beer,bread,butter,cheese,chips,cookies,eggs,ham,yogurt
apples,beer,bread,butter,coffee,eggs,milk,tea,water,yogurt
apples,beer,bread,butter,cheese,eggs,ham,milk,tea,yogurt
beer,butter,chips,cookies,eggs,ham,milk,tea,water,yogurt
